Ec,Es,ds,Aw,hs,tc,ks
47.2,187.9,9.5,32.5,50,70,98
47.2,187.9,9.5,32.5,50,70,136.5
47.2,187.9,9.5,32.5,50,70,103.5
43.2,209,10,32.5,35,50,134.625
47.8,210,10,32.5,20,30,149.2
47.8,210,10,32.5,20,30,149.2
47.8,210,10,32.5,20,30,149.2
36.68862938,210,12,28.224,50,69,154.8
43.49648886,210,12,28.224,50,69,179
47.59968399,210,12,28.224,50,69,171.3
52.00875782,210,12,28.224,50,69,178.15
49.37432773,210,12,28.224,50,69,227.85
29.4630562,210,12.7,76.2,101.6,177.8,116.55
30.67028297,210,12.7,76.2,101.6,177.8,46.4
37.5,195,13,51,80,150,176.65
46,195,13,51,80,150,265.01
46,195,13,51,120,150,172.33
43.2,209,13,51,25,50,94.0625
43.2,209,13,51,35,50,100.9375
43.2,209,13,51,45,50,115.5
50.9,210,13,51,80,150,272.2
50.9,210,13,51,80,150,278.1
45.01067376,206,13,51,35,50,219.45625
45.01067376,206,13,51,35,50,227
45.01067376,206,13,51,35,50,253.79375
46.2589967,205,13,51,47,130,422.15
46.2589967,205,13,51,47,130,427.7
46.2589967,205,13,51,47,130,411.4
46.2589967,205,13,51,47,130,350.3
46.2589967,205,13,51,47,130,373
34.71363835,210,13,51,80,100,266.72
34.71363835,210,13,51,80,100,247.14
34.71363835,210,13,51,80,100,244.11
37.72958097,210,13,51,80,100,153.17
37.72958097,210,13,51,80,100,175.55
37.72958097,210,13,51,80,100,118.94
32.2,200,13,51,65,80,278.8
32.2,200,13,51,95,110,197.95
33.1,200,13,51,95,110,383.25
29,200,13,51,95,110,280.4
47.8,210,14,51,20,30,146.25
47.8,210,14,51,20,30,146.25
29.34743773,210,15.9,86.1,100.1,177.8,163.2
30.37351863,210,15.9,86.1,100.1,177.8,82.9
43.99,197.5,16,94.5,35,50,366.22
43.852,197.5,16,94.5,35,50,318.31
34.59108713,210,16,94.5,80,150,162
37.5,195,16,94.5,80,150,132.57
46,195,16,94.5,80,150,163.68
46,195,16,94.5,120,150,317.77
43.2,209,16,94.5,35,50,155
35.4,206,16,94.5,80,150,119.95
35.4,206,16,94.5,80,150,189.35
35.4,206,16,94.5,80,150,189.9
35.4,206,16,94.5,80,150,122.2
35.4,206,16,94.5,80,150,221.745
35.4,206,16,94.5,80,150,189.6
18,210,16,94.5,60,85,138.4
18,210,16,94.5,60,85,129.1
18,210,16,94.5,60,85,121.95
39.19619625,210,16,94.5,150,200,304
47.8,210,16,94.5,20,30,254.5
47.8,210,16,94.5,20,30,254.5
47.8,210,16,94.5,40,50,226.45
47.8,210,16,94.5,40,50,226.45
47.8,210,16,94.5,40,50,226.45
47.8,210,16,94.5,60,70,279.3
47.8,210,16,94.5,60,70,279.3
47.8,210,16,94.5,60,70,279.3
26.8,186,16,94.5,90,150,325.05
26.8,186,16,94.5,90,150,296.65
31.2,186,16,94.5,90,150,206.65
33.72,210,16,94.5,90,160,128.3
33.72,210,16,94.5,90,160,261.55
33.72,210,16,94.5,90,160,175.5
27.9,210,16,94.5,90,160,229.4
27.9,210,16,94.5,90,160,327.55
27.9,210,16,94.5,90,160,307.6
21.83,210,16,94.5,90,160,193.45
21.83,210,16,94.5,90,160,108.95
21.83,210,16,94.5,90,160,252.5
14.45,210,16,94.5,90,160,134.9
14.45,210,16,94.5,90,160,78.95
29.12,210,16,94.5,90,160,295.35
29.12,210,16,94.5,90,160,271.4
36.8,210,16,94.5,100,150,238.575
36.8,210,16,94.5,100,150,238.575
36.8,210,16,94.5,100,150,238.575
36.8,210,16,94.5,100,150,216.96875
36.8,210,16,94.5,100,150,216.96875
36.8,210,16,94.5,100,150,216.96875
36.8,210,16,94.5,100,150,223.0125
36.8,210,16,94.5,100,150,223.0125
36.8,210,16,94.5,100,150,223.0125
34.2,210,16,94.5,100,150,223.0125
34.2,210,16,94.5,100,150,223.0125
36.8,210,16,94.5,100,150,232.94375
36.8,210,16,94.5,100,150,232.94375
36.8,210,16,94.5,100,150,232.94375
34.2,210,16,94.5,100,150,220.85625
34.2,210,16,94.5,100,150,220.85625
34.2,210,16,94.5,100,150,220.85625
34.2,210,16,94.5,100,150,220.85625
34.2,210,16,94.5,100,150,222.5125
34.2,210,16,94.5,100,150,222.5125
34.2,210,16,94.5,100,150,222.5125
34.2,210,16,94.5,100,150,222.5125
33.1,200,16,94.5,85,100,314.15
32.2,200,16,94.5,85,100,304.7
29,200,16,94.5,85,100,221.3
32.2,200,16,94.5,105,120,262.85
34.68263885,213.5,16,94.5,100,185,163.95
34.68263885,213.5,16,94.5,100,185,197.1083333
37.64009644,213.5,16,94.5,100,185,127.4285714
38.2323936,213.5,16,94.5,100,185,151.31875
38.2323936,213.5,16,94.5,100,185,158.60625
36.42629216,213.5,16,94.5,100,185,193.1555556
36.42629216,213.5,16,94.5,100,185,169.4666667
37.82751992,213.5,16,94.5,100,185,115.465
37.82751992,213.5,16,94.5,100,185,156.695
43.99,222.08,19,138,35,50,382.13
43.99,222.08,19,138,60,75,458.55
43.852,222.08,19,138,35,50,333.62
43.852,222.08,19,138,60,75,375.99
44.15732255,210,19,138,80,100,47.5
44.15732255,210,19,138,80,100,47.5
44.15732255,210,19,138,80,100,57.41
44.15732255,210,19,138,80,100,57.41
44.15732255,210,19,138,60,100,57.38
44.15732255,210,19,138,60,100,57.38
34.20025521,210,19,138,80,150,250.9
34.31298368,210,19,138,60,150,126.3
34.31298368,210,19,138,110,150,219
34.31298368,210,19,138,80,150,238
34.36902534,210,19,138,80,150,173
34.20025521,210,19,138,80,150,264
34.20025521,210,19,138,80,150,268.5
34.36902534,210,19,138,80,150,184
34.36902534,210,19,138,80,150,165.5
47.2,187.9,19,138,100,140,519.5
47.2,187.9,19,138,100,140,301
47.2,187.9,19,138,100,140,451
37.5,195,19,138,80,150,255.24
46,195,19,138,80,150,378.41
46,195,19,138,120,150,387.91
50.9,210,19,138,80,150,335.3
50.9,210,19,138,80,150,468.4
50.9,210,19,138,80,150,331
50.9,210,19,138,80,150,315.6
20.8,192,19,138,90,120,172.2875
20.8,192,19,138,90,120,201.575
20.8,192,19,138,90,120,197.4375
20.8,192,19,138,90,120,86.71
20.8,192,19,138,90,120,168.9625
20.8,192,19,138,90,120,227.0875
29.30317544,210,19,138,100,150,59.4
29.30317544,210,19,138,100,150,59.4
29.30317544,210,19,138,100,150,59.4
29.30317544,210,19,138,100,150,192.9
29.30317544,210,19,138,100,150,192.9
29.30317544,210,19,138,100,150,192.9
29.30317544,210,19,138,100,150,78.85
29.30317544,210,19,138,100,150,78.85
29.30317544,210,19,138,100,150,78.85
29.30317544,210,19,138,100,150,69.95
29.30317544,210,19,138,100,150,69.95
29.30317544,210,19,138,100,150,69.95
29.30317544,210,19,138,100,150,69.55
29.30317544,210,19,138,100,150,69.55
29.30317544,210,19,138,100,150,69.55
29.30317544,210,19,138,100,150,163.2
29.30317544,210,19,138,100,150,163.2
29.30317544,210,19,138,100,150,163.2
29.30317544,210,19,138,100,150,182.45
29.30317544,210,19,138,100,150,182.45
29.30317544,210,19,138,100,150,182.45
29.30317544,210,19,138,100,150,241.5
29.30317544,210,19,138,100,150,241.5
29.30317544,210,19,138,100,150,241.5
29.30317544,210,19,138,100,150,73.85
29.30317544,210,19,138,100,150,73.85
29.30317544,210,19,138,100,150,73.85
29.30317544,210,19,138,100,150,247.35
29.30317544,210,19,138,100,150,247.35
29.30317544,210,19,138,100,150,247.35
30.84302683,210,19,138,100,150,68.45
30.84302683,210,19,138,100,150,68.45
30.84302683,210,19,138,100,150,68.45
